area_name,week_ending,count,average_2018_2019
Scotland,05 Jan 20,26453,25685
Scotland,12 Jan 20,25375,24440
Scotland,19 Jan 20,25447,24196.5
Scotland,26 Jan 20,26183,25433.5
Scotland,02 Feb 20,26250,25653.5
Scotland,09 Feb 20,26048,26075
Scotland,16 Feb 20,24592,26011
Scotland,23 Feb 20,26012,26470.5
Scotland,01 Mar 20,26351,24461.5
Scotland,08 Mar 20,26103,26378.5
Scotland,15 Mar 20,24052,26725
Scotland,22 Mar 20,16518,27005
Scotland,29 Mar 20,11059,26858
Scotland,05 Apr 20,11276,25817
Scotland,12 Apr 20,11866,25870.5
Scotland,19 Apr 20,12892,28161
Scotland,26 Apr 20,15049,28073
Scotland,03 May 20,16081,27398
Scotland,10 May 20,16801,27933
Scotland,17 May 20,16351,28610.5
Scotland,24 May 20,17635,28395.5
Scotland,31 May 20,19741,28551.5
Scotland,07 Jun 20,20099,28428.5
Scotland,14 Jun 20,19216,27693.5
Scotland,21 Jun 20,21359,27875.5
Scotland,28 Jun 20,21680,28326
Scotland,05 Jul 20,20503,27328.5
Scotland,12 Jul 20,21468,26661.5
Scotland,19 Jul 20,22441,26979.5
Scotland,26 Jul 20,22550,27426
Scotland,02 Aug 20,22395,27332
Scotland,09 Aug 20,22844,26986.5
Scotland,16 Aug 20,24009,26817.5
Scotland,23 Aug 20,24050,27779
Scotland,30 Aug 20,23421,28358.5
Scotland,06 Sep 20,23682,27822.5
Scotland,13 Sep 20,23352,27744
Scotland,20 Sep 20,23761,28152.5
Scotland,27 Sep 20,22247,28198.5
Scotland,04 Oct 20,21817,27520.5
Scotland,11 Oct 20,22181,27226.5
Scotland,18 Oct 20,19904,25535.5
Scotland,25 Oct 20,20572,26427.5
Scotland,01 Nov 20,20336,26749
Scotland,08 Nov 20,20164,27594
Scotland,15 Nov 20,20333,27345
Scotland,22 Nov 20,19710,26668
Scotland,29 Nov 20,19630,26677
Scotland,06 Dec 20,18673,27444.5
Scotland,13 Dec 20,19064,26721.5
Scotland,20 Dec 20,19327,26960
Scotland,27 Dec 20,16442,25181
Scotland,03 Jan 21,18817,25181
Scotland,10 Jan 21,18417,25685
Scotland,17 Jan 21,15689,24440
Scotland,24 Jan 21,16307,24196.5
Scotland,31 Jan 21,16331,25433.5
Scotland,07 Feb 21,16152,25653.5
Scotland,14 Feb 21,16873,26075
Scotland,21 Feb 21,18296,26011
Scotland,28 Feb 21,18786,26470.5
Scotland,07 Mar 21,18827,24461.5
Scotland,14 Mar 21,19104,26378.5
Scotland,21 Mar 21,21626,26725
Scotland,28 Mar 21,21465,27005
Scotland,04 Apr 21,22591,26858
Scotland,11 Apr 21,22025,25817
Scotland,18 Apr 21,23419,25870.5
Scotland,25 Apr 21,24879,28161
Scotland,02 May 21,23828,28073
Scotland,09 May 21,23954,27398
Scotland,16 May 21,25816,27933
Scotland,23 May 21,25724,28610.5
Scotland,30 May 21,26127,28395.5
Scotland,06 Jun 21,28494,28551.5
Scotland,13 Jun 21,28326,28428.5
Scotland,20 Jun 21,27893,27693.5
Scotland,27 Jun 21,26404,27875.5
Scotland,04 Jul 21,26085,28326
Scotland,11 Jul 21,25420,27328.5
Scotland,18 Jul 21,26204,26661.5
Scotland,25 Jul 21,26308,26979.5
Scotland,01 Aug 21,25670,27426
Scotland,08 Aug 21,25604,27332
Scotland,15 Aug 21,25476,26986.5
Scotland,22 Aug 21,26648,26817.5
Scotland,29 Aug 21,27589,27779
Scotland,05 Sep 21,27272,28358.5
Scotland,12 Sep 21,27374,27822.5
Scotland,19 Sep 21,26888,27744
Scotland,26 Sep 21,26178,28152.5
Scotland,03 Oct 21,25152,28198.5
Scotland,10 Oct 21,25364,27520.5
Scotland,17 Oct 21,24132,27226.5
Scotland,24 Oct 21,24425,25535.5
Scotland,31 Oct 21,24177,26427.5
Scotland,07 Nov 21,24358,26749
Scotland,14 Nov 21,24741,27594
Scotland,21 Nov 21,24200,27345
Scotland,28 Nov 21,23257,26668
Scotland,05 Dec 21,23883,26677
Scotland,12 Dec 21,24035,27444.5
Scotland,19 Dec 21,22394,26721.5
Scotland,26 Dec 21,18946,26960
Scotland,02 Jan 22,21868,25181
Scotland,09 Jan 22,21186,25685
Scotland,16 Jan 22,20827,24440
Scotland,23 Jan 22,21390,24196.5
Scotland,30 Jan 22,23175,25433.5
Scotland,06 Feb 22,23456,25653.5
Scotland,13 Feb 22,23882,26075
Scotland,20 Feb 22,23346,26011
Scotland,27 Feb 22,24686,26470.5
Scotland,06 Mar 22,24977,24461.5
Scotland,13 Mar 22,25616,26378.5
Scotland,20 Mar 22,25506,26725
Scotland,27 Mar 22,25264,27005
