area_name,week_ending,count,average_2015_2019
Scotland,05 Jan 20,1161,1276
Scotland,12 Jan 20,1567,1559.6
Scotland,19 Jan 20,1322,1382
Scotland,26 Jan 20,1226,1316.6
Scotland,02 Feb 20,1188,1279.6
Scotland,09 Feb 20,1216,1253.8
Scotland,16 Feb 20,1162,1259.2
Scotland,23 Feb 20,1162,1246.8
Scotland,01 Mar 20,1171,1164.8
Scotland,08 Mar 20,1208,1228.6
Scotland,15 Mar 20,1198,1169
Scotland,22 Mar 20,1196,1120.4
Scotland,29 Mar 20,1079,1118.2
Scotland,05 Apr 20,1744,1098.4
Scotland,12 Apr 20,1978,1099.8
Scotland,19 Apr 20,1916,1067.2
Scotland,26 Apr 20,1836,1086.8
Scotland,03 May 20,1678,1079.4
Scotland,10 May 20,1435,1034.2
Scotland,17 May 20,1421,1064
Scotland,24 May 20,1226,1045.4
Scotland,31 May 20,1128,1016.8
Scotland,07 Jun 20,1093,1056
Scotland,14 Jun 20,1034,1000
Scotland,21 Jun 20,1065,1019.4
Scotland,28 Jun 20,1008,1026
Scotland,05 Jul 20,983,1018
Scotland,12 Jul 20,977,1025.2
Scotland,19 Jul 20,1033,996.2
Scotland,26 Jul 20,962,977.2
Scotland,02 Aug 20,1043,994.4
Scotland,09 Aug 20,1011,1002.6
Scotland,16 Aug 20,928,992.2
Scotland,23 Aug 20,1046,999.2
Scotland,30 Aug 20,1030,983.2
Scotland,06 Sep 20,1050,987.8
Scotland,13 Sep 20,1069,1008
Scotland,20 Sep 20,952,1006.6
Scotland,27 Sep 20,933,1046.4
Scotland,04 Oct 20,1196,1037.8
Scotland,11 Oct 20,1072,1078.8
Scotland,18 Oct 20,1134,1062
Scotland,25 Oct 20,1187,1052.4
Scotland,01 Nov 20,1262,1079.2
Scotland,08 Nov 20,1250,1105
Scotland,15 Nov 20,1338,1139.2
Scotland,22 Nov 20,1360,1130.2
Scotland,29 Nov 20,1329,1130.4
Scotland,06 Dec 20,1296,1139.6
Scotland,13 Dec 20,1284,1235.8
Scotland,20 Dec 20,1297,1272
Scotland,27 Dec 20,1205,1060.6
Scotland,03 Jan 21,1178,1018
Scotland,10 Jan 21,1720,1276
Scotland,17 Jan 21,1550,1559.6
Scotland,24 Jan 21,1559,1382
Scotland,31 Jan 21,1604,1316.6
Scotland,07 Feb 21,1506,1279.6
Scotland,14 Feb 21,1412,1253.8
Scotland,21 Feb 21,1422,1259.2
Scotland,28 Feb 21,1325,1246.8
Scotland,07 Mar 21,1204,1164.8
Scotland,14 Mar 21,1145,1228.6
Scotland,21 Mar 21,1114,1169
Scotland,28 Mar 21,1097,1120.4
Scotland,04 Apr 21,972,1118.2
Scotland,11 Apr 21,1058,1098.4
Scotland,18 Apr 21,1131,1099.8
Scotland,25 Apr 21,1112,1067.2
Scotland,02 May 21,1040,1086.8
Scotland,09 May 21,954,1079.4
Scotland,16 May 21,1076,1034.2
Scotland,23 May 21,1042,1064
Scotland,30 May 21,1098,1045.4
Scotland,06 Jun 21,1055,1016.8
Scotland,13 Jun 21,1150,1056
Scotland,20 Jun 21,1054,1000
Scotland,27 Jun 21,1055,1019.4
Scotland,04 Jul 21,1095,1026
Scotland,11 Jul 21,1087,1018
Scotland,18 Jul 21,1127,1025.2
Scotland,25 Jul 21,1126,996.2
Scotland,01 Aug 21,1155,977.2
Scotland,08 Aug 21,1073,994.4
Scotland,15 Aug 21,1099,1002.6
Scotland,22 Aug 21,1171,992.2
Scotland,29 Aug 21,1129,999.2
Scotland,05 Sep 21,1180,983.2
Scotland,12 Sep 21,1130,987.8
Scotland,19 Sep 21,1259,1008
Scotland,26 Sep 21,1228,1006.6
Scotland,03 Oct 21,1255,1046.4
Scotland,10 Oct 21,1368,1037.8
Scotland,17 Oct 21,1345,1078.8
Scotland,24 Oct 21,1323,1062
Scotland,31 Oct 21,1342,1052.4
Scotland,07 Nov 21,1298,1079.2
Scotland,14 Nov 21,1338,1105
Scotland,21 Nov 21,1277,1139.2
Scotland,28 Nov 21,1286,1130.2
Scotland,05 Dec 21,1333,1130.4
Scotland,12 Dec 21,1326,1139.6
Scotland,19 Dec 21,1359,1235.8
Scotland,26 Dec 21,1337,1272
Scotland,02 Jan 22,1085,1060.6
Scotland,09 Jan 22,1231,1276
Scotland,16 Jan 22,1517,1559.6
Scotland,23 Jan 22,1347,1382
Scotland,30 Jan 22,1261,1316.6
Scotland,06 Feb 22,1260,1279.6
Scotland,13 Feb 22,1238,1253.8
Scotland,20 Feb 22,1158,1259.2
Scotland,27 Feb 22,1190,1246.8
Scotland,06 Mar 22,1192,1164.8
Scotland,13 Mar 22,1222,1228.6
Scotland,20 Mar 22,1267,1169
Scotland,27 Mar 22,1248,1120.4
